Kon;Alder;Alder;Alder10;Avdelning;Omfattning;Franvaro;Lon;Anstallning;Fortroendearbetstid;Karriarniva;Arbetsomrade;Arbetsomrade1;Personalansvar;Anstalld_sedan
kvinna;54;50-54;50-59;Administration;100;0;39950;Tillsvidare;Ja;4;10;1;;2007-02-06
man;39;35-39;30-39;Administration;100;0;37570;Tillsvidare;Ja;4;10;1;;2007-01-30
man;60;60-64;60-;Administration;100;0;50320;Tillsvidare;Ja;5;10;1;Nej;1999-08-10
kvinna;62;60-64;60-;Administration;100;0;46155;Tillsvidare;Ja;5;10;1;;1994-04-26
man;61;60-64;60-;Administration;100;0;49470;Tillsvidare;Ja;5;10;1;;1988-12-31
man;46;45-49;40-49;Administration;100;0;45900;Tillsvidare;Ja;5;10;1;;2001-08-28
kvinna;62;60-64;60-;Administration;100;0;46325;Tillsvidare;Ja;5;10;1;;1976-06-08
man;53;50-54;50-59;Administration;100;0;44710;Tillsvidare;Ja;5;10;1;;1987-09-15
kvinna;47;45-49;40-49;Administration;100;0;48195;Tillsvidare;Ja;5;10;1;Nej;1996-12-31
kvinna;39;35-39;30-39;Ledning;100;0;30855;Tillsvidare;Nej;3;10;1;;2004-01-07
kvinna;56;55-59;50-59;Vaktmästeri;100;0;43350;Tillsvidare;Nej;4;10;1;;2001-01-31
man;55;55-59;50-59;Vaktmästeri;100;0;48025;Tillsvidare;Ja;5;10;1;;2001-02-06
man;34;30-34;30-39;Ekonomi;100;0;38250;Tillsvidare;Nej;3;12;2;;2015-05-19
kvinna;50;50-54;50-59;Marknad;100;0;61710;Tillsvidare;Ja;5;12;2;Ja;2002-01-01
kvinna;43;40-44;40-49;Marknad;100;0;61200;Tillsvidare;Ja;5;12;2;Ja;2017-02-14
kvinna;53;50-54;50-59;Marknad;100;0;39950;Tillsvidare;Nej;3;12;2;;2011-09-30
kvinna;41;40-44;40-49;Marknad;100;0;39355;Tidsbegränsad;Nej;3;12;2;;2017-02-07
kvinna;35;35-39;30-39;Marknad;100;0;45900;Tillsvidare;Nej;3;12;2;;2017-01-10
kvinna;47;45-49;40-49;Marknad;100;81;39355;Tillsvidare;Nej;3;12;2;;2013-10-22
kvinna;38;35-39;30-39;Marknad;100;100;43860;Tillsvidare;Ja;3;12;2;;2013-10-15
man;37;35-39;30-39;Marknad;100;90;46665;Tillsvidare;Nej;3;12;2;;2016-05-10
kvinna;37;35-39;30-39;Marknad;100;0;39015;Tillsvidare;Nej;3;12;2;;2012-12-11
kvinna;38;35-39;30-39;Marknad;100;100;41140;Tillsvidare;Ja;4;12;2;;2013-01-08
kvinna;47;45-49;40-49;Marknad;100;0;45560;Tillsvidare;Nej;4;12;2;Nej;2010-08-01
kvinna;43;40-44;40-49;Marknad;100;0;44370;Tillsvidare;Nej;4;12;2;;2004-05-04
kvinna;43;40-44;40-49;Marknad;100;0;44115;Tillsvidare;Nej;4;12;2;;2002-08-06
kvinna;40;40-44;40-49;Marknad;100;100;41905;Tillsvidare;Ja;4;12;2;;2012-05-15
kvinna;40;40-44;40-49;Marknad;100;0;44030;Tillsvidare;Ja;4;12;2;;2011-08-30
man;51;50-54;50-59;Marknad;100;0;44710;Tillsvidare;Ja;4;12;2;;2009-11-18
kvinna;42;40-44;40-49;Marknad;100;0;37230;Tidsbegränsad;Ja;3;12;2;;2014-12-11
man;37;35-39;30-39;Marknad;100;0;37910;Tidsbegränsad;Ja;3;12;2;;2014-11-14
